STATE,YEAR,MONTH,TYPE,DAMAGE
COLORADO,2007,March,Avalanche,1.00K
COLORADO,2007,March,Avalanche,1.00K
WYOMING,2008,December,Avalanche,15.00K
IDAHO,2008,January,Avalanche,10.00K
WASHINGTON,2008,February,Avalanche,1.10M
COLORADO,2008,February,Avalanche,1.00K
WASHINGTON,2009,January,Avalanche,1.00M
COLORADO,2009,January,Avalanche,0.50K
COLORADO,2009,January,Avalanche,0.50K
COLORADO,2010,January,Avalanche,200.00K
COLORADO,2010,January,Avalanche,0.50K
COLORADO,2010,March,Avalanche,0.50K
COLORADO,2010,March,Avalanche,0.50K
COLORADO,2010,January,Avalanche,0.30K
CALIFORNIA,2011,February,Avalanche,55.00K
NORTH DAKOTA,2006,April,Blizzard,400K
OKLAHOMA,2006,December,Blizzard,4.00M
NORTH DAKOTA,2006,April,Blizzard,250K
MASSACHUSETTS,2006,February,Blizzard,15K
RHODE ISLAND,2006,February,Blizzard,10K
NEBRASKA,2006,April,Blizzard,10K
WISCONSIN,2007,February,Blizzard,75.00K
MINNESOTA,2007,March,Blizzard,50.00K
MICHIGAN,2007,April,Blizzard,4.00K
NEBRASKA,2007,February,Blizzard,30.00K
MINNESOTA,2007,March,Blizzard,20.00K
WISCONSIN,2007,February,Blizzard,20.00K
MICHIGAN,2007,April,Blizzard,2.00K
WISCONSIN,2007,February,Blizzard,15.00K
NORTH DAKOTA,2007,March,Blizzard,15.00K
WYOMING,2007,March,Blizzard,130.00K
MINNESOTA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
IOWA,2007,March,Blizzard,100.00K
WISCONSIN,2007,February,Blizzard,10.00K
WISCONSIN,2007,February,Blizzard,10.00K
MICHIGAN,2007,April,Blizzard,10.00K
COLORADO,2007,December,Blizzard,10.00K
SOUTH DAKOTA,2008,November,Blizzard,750.00K
NORTH DAKOTA,2008,November,Blizzard,66.00K
SOUTH DAKOTA,2008,November,Blizzard,600.00K
SOUTH DAKOTA,2008,November,Blizzard,600.00K
SOUTH DAKOTA,2008,November,Blizzard,500.00K
SOUTH DAKOTA,2008,November,Blizzard,500.00K
WYOMING,2008,November,Blizzard,50.00K
MINNESOTA,2008,December,Blizzard,5.00K
NORTH DAKOTA,2008,November,Blizzard,40.00K
SOUTH DAKOTA,2008,November,Blizzard,300.00K
SOUTH DAKOTA,2008,November,Blizzard,300.00K
SOUTH DAKOTA,2008,November,Blizzard,300.00K
SOUTH DAKOTA,2008,November,Blizzard,300.00K
SOUTH DAKOTA,2008,November,Blizzard,300.00K
MICHIGAN,2008,February,Blizzard,250.00K
MONTANA,2008,December,Blizzard,200.00K
NORTH DAKOTA,2008,November,Blizzard,20.00K
WASHINGTON,2008,December,Blizzard,16.00K
SOUTH DAKOTA,2008,November,Blizzard,100.00K
SOUTH DAKOTA,2008,November,Blizzard,100.00K
SOUTH DAKOTA,2008,November,Blizzard,100.00K
SOUTH DAKOTA,2008,November,Blizzard,100.00K
SOUTH DAKOTA,2008,November,Blizzard,100.00K
SOUTH DAKOTA,2008,November,Blizzard,100.00K
SOUTH DAKOTA,2008,November,Blizzard,100.00K
SOUTH DAKOTA,2008,November,Blizzard,100.00K
NORTH DAKOTA,2008,November,Blizzard,10.00K
IOWA,2008,January,Blizzard,10.00K
IOWA,2008,January,Blizzard,10.00K
IOWA,2008,January,Blizzard,10.00K
IOWA,2008,January,Blizzard,10.00K
IOWA,2008,January,Blizzard,10.00K
IOWA,2008,January,Blizzard,10.00K
IOWA,2008,January,Blizzard,10.00K
IOWA,2008,January,Blizzard,10.00K
IOWA,2008,January,Blizzard,10.00K
IOWA,2008,January,Blizzard,10.00K
TEXAS,2009,March,Blizzard,800.00K
SOUTH DAKOTA,2009,March,Blizzard,700.00K
SOUTH DAKOTA,2009,December,Blizzard,70.00K
KANSAS,2009,March,Blizzard,70.00K
NEBRASKA,2009,April,Blizzard,70.00K
NEBRASKA,2009,April,Blizzard,70.00K
SOUTH DAKOTA,2009,March,Blizzard,7.00M
SOUTH DAKOTA,2009,March,Blizzard,7.00M
SOUTH DAKOTA,2009,March,Blizzard,6.50M
TEXAS,2009,December,Blizzard,500.00K
SOUTH DAKOTA,2009,March,Blizzard,500.00K
SOUTH DAKOTA,2009,March,Blizzard,500.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
SOUTH DAKOTA,2009,December,Blizzard,50.00K
SOUTH DAKOTA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
IOWA,2009,December,Blizzard,50.00K
